Library Full Name,Library Number,Year,Ontario Library Service Region,Service Type,Mailing Address,Street Address,City/Town,Province,Postal Code,Web Site Address,No. Cardholders,English Print Titles Held,French Print Titles Held,Other Print Titles Held,Total Print Titles Held,English E-book and E-audio Titles,French E-book and E-audio Titles,Other E-book and E-audio Titles,Total E-book and E-audio Titles
Dubreuilville Twp,L0427,2019,Ontario Library Service - North,Public or Union Library,120 rue Magpie C.P. 39 ,120 rue Magpie ,Dubreuilville,Ontario,P0S1B0,www.dubreuilville.ca,365,155,723,0,878,"18,730",30,45,"18,805"
Ear Falls Twp,L0144,2019,Ontario Library Service - North,Public or Union Library,Willow P.O. Box 369 ,2 Willow Crescent ,Ear Falls,Ontario,P0V1T0,www.olsn.ca/earfallspl,239,"14,858",0,0,"14,858","79,423",613,39,"80,075"
East Ferris,L0145,2019,Ontario Library Service - North,Public or Union Library,1257 Village Road PO Box 160 ,1257 Village Road ,Astorville,Ontario,P0H1B0,www.efpl.ca,707,"10,274","3,547",0,"13,821","79,423",613,39,"80,075"
East Garafraxa Twp,L0146,2019,Southern Ontario Library Service,Contracting Municipality,191282 13th Line ,4 Amaranth Street ,Grand Valley,Ontario,L0N1G0,www.eastgary.ca,0,0,0,0,0,0,0,0,0
East Gwillimbury,L0147,2019,Southern Ontario Library Service,Public or Union Library,19513 Yonge Street P.O. Box 1609   ,,Holland Landing,Ontario,L9N1P2,www.egpl.ca,"8,009","35,415",835,97,"36,347","178,023","2,766","1,609","182,398"
East Hawkesbury Twp,L0028,2019,Southern Ontario Library Service,Contracting Municipality,C.P. 340 ,5151 County Road No. 14 ,St. Eugene,Ontario,K0B1P0,easthawkesbury.ca,0,0,0,0,0,0,0,0,0
Edwardsburgh/Cardinal Twp,L0467,2019,Southern Ontario Library Service,Public or Union Library,5 Henderson St. Box 130 ,5 Henderson Street ,Spencerville,Ontario,K0E1X0,www.edcarlibrary.ca,"1,879","29,899",0,0,"29,899","79,423",613,39,"80,075"
Elgin County,L0151,2019,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",450 Sunset Drive ,450 Sunset Drive ,St. Thomas,Ontario,N5R5V1,www.elgincounty.ca/library,"10,925","95,065",324,178,"95,567","113,100","2,598",312,"116,010"
Elizabethtown - Kitley,L0469,2019,Southern Ontario Library Service,Public or Union Library,R.R. #2 ,6544 New Dublin Road ,Addison,Ontario,K0E1A0,,"1,203","29,678",140,0,"29,818","79,423",613,39,"80,075"
Elliot Lake,L0152,2019,Ontario Library Service - North,Public or Union Library,4-40 Hillside Drive South ,4-40 Hillside Drive South ,Elliot Lake,Ontario,P5A1M7,http://www.elliotlakelibrary.com/en/,"4,490","27,851","2,733",0,"30,584","79,493",613,39,"80,145"
Emo Twp,L0098,2019,Ontario Library Service - North,Public or Union Library,P.O. Box 490 ,JESSIE STREET ,Emo,Ontario,P0W1E0,www.emo.ca/library,"2,126","9,567",5,0,"9,572","79,423",613,39,"80,075"
Englehart,L0054,2019,Ontario Library Service - North,Public or Union Library,P.O. Box 809 ,71 Fourth Avenue ,Englehart,Ontario,P0J1H0,http://www.englehartpubliclibrary.ca,780,148,16,0,164,"69,714",607,40,"70,361"
Espanola,L0052,2019,Ontario Library Service - North,Public or Union Library,245 Avery Drive ,,Espanola,Ontario,P5E1S4,www.espanola.library.on.ca,"1,286","29,789","4,836",18,"34,643","79,423",613,39,"80,075"
Essa,L0387,2019,Southern Ontario Library Service,Public or Union Library,8505 County Road 10 Unit #1 ,,Angus,Ontario,L0M1B1,http://www.essa.library.on.ca,"5,870","33,994","1,644",0,"35,638","13,255",146,375,"13,776"
Essex County,L0153,2019,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",360 Fairview Avenue West Suite 101 ,,Essex,Ontario,N8M1Y3,www.essexcountylibrary.ca,"53,507","158,753","4,533",484,"163,770","26,949",98,31,"27,078"
Evanturel Twp,L0150,2019,Ontario Library Service - North,Contracting Municipality,P.O. Box 209 ,245453 Highway 569 ,Englehart,Ontario,P0J1H0,www.evanturel.com,0,0,0,0,0,0,0,0,0
Faraday Twp,L0155,2019,Southern Ontario Library Service,Contracting Municipality,29860 Hwy 28 South  R. R. # 3 ,,Bancroft,Ontario,K0L1C0,www.faraday.ca,0,0,0,0,0,0,0,0,0
Fauquier-Strickland Twp,L0055,2019,Ontario Library Service - North,Public or Union Library,Centre Communautaire C.P. 100 ,25 chemin Grzela ,Fauquier,Ontario,P0L1G0,bibliofauquier.weebly.com,490,"3,331","9,974",0,"13,305",0,"6,190",0,"6,190"
Fort Erie,L0156,2019,Southern Ontario Library Service,Public or Union Library,136 Gilmore Road ,,Fort Erie,Ontario,L2A2M1,www.forterie.library.on.ca,"8,991","69,794",0,0,"69,794","81,578",613,39,"82,230"
Fort Frances,L0157,2019,Ontario Library Service - North,Public or Union Library,601 Reid Avenue ,601 Reid Avenue ,Fort Frances,Ontario,P9A0A2,http://ffpltc.ca/,"2,834","43,715",576,0,"44,291","80,903",613,39,"81,555"
French River,L0325,2019,Ontario Library Service - North,Public or Union Library,PO Box 130 ,15 Dollard Street ,Noelville,Ontario,P0M2N0,http://www.olsn.ca/frenchriverpl/index.html,654,"17,104","2,775",0,"19,879","79,423",613,39,"80,075"
Front of Yonge Twp,L0448,2019,Southern Ontario Library Service,Public or Union Library,P.O. Box  250 ,76 County Road 5 S. ,Mallorytown,Ontario,K0E1R0,www.frontofyonge.com/library,367,"9,356",153,0,"9,509","79,423",613,39,"80,075"
Gananoque,L0160,2019,Southern Ontario Library Service,Public or Union Library,100 Park Street ,100 Park Street ,Gananoque,Ontario,K7G2Y5,http://www.gananoquelibrary.ca/,"2,454","15,390",70,0,"15,460","79,423",613,39,"80,075"
Garden River FN,L0404,2019,Ontario Library Service - North,First Nations Library,48 Syrette Lake Road ,,Garden River,Ontario,P6A5K9,www.gardenriver.ca,10,"2,993",0,0,"2,993","8,421",203,331,"8,955"
