Library Full Name,Library Number,Year,Ontario Library Service Region,Service Type,Mailing Address,Street Address,City/Town,Province,Postal Code,Web Site Address,No. Cardholders,English Print Titles Held,French Print Titles Held,Other Print Titles Held,Total Print Titles Held,English E-book and E-audio Titles,French E-book and E-audio Titles,Other E-book and E-audio Titles,Total E-book and E-audio Titles
Front of Yonge Twp,L0448,2018,Southern Ontario Library Service,Public or Union Library,P.O. Box  250 ,76 County Road 5 S. ,Mallorytown,Ontario,K0E1R0,www.frontofyonge.com/library,302,"9,081",139,0,"9,220","82,191",619,41,"82,851"
Gananoque,L0160,2018,Southern Ontario Library Service,Public or Union Library,100 Park Street ,100 Park Street ,Gananoque,Ontario,K7G2Y5,http://www.gananoquelibrary.ca/,"2,793","14,595",70,0,"14,665",0,0,0,0
Garden River FN,L0404,2018,Ontario Library Service - North,First Nations Library,48 Syrette Lake Road ,,Garden River,Ontario,P6A5K9,www.gardenriver.ca,10,"2,993",0,0,"2,993","8,421",203,331,"8,955"
Georgian Bay Twp,L0162,2018,Southern Ontario Library Service,Public or Union Library,2587 Honey Harbour Road P.O. Box 220 ,2587 Honey Harbour Road P.O. Box 220 ,Honey Harbour,Ontario,P0E1E0,http://www.gbpl.ca,"4,148","16,423",3,0,"16,426","82,323",619,41,"82,983"
Georgina,L0072,2018,Southern Ontario Library Service,Public or Union Library,90 Wexford Drive ,,Keswick,Ontario,L4P3P7,www.georginalibrary.ca,"15,485","83,590","1,966",385,"85,941","83,073",619,41,"83,733"
Gillies Twp,L0164,2018,Ontario Library Service - North,Contracting Municipality,1092 Hwy. #595 R.R. #1 ,Hwy. #595 R.R. #1 ,"Kakabeka Falls,   ON",Ontario,P0T1W0,www.gilliestownship.ca,0,0,0,0,0,0,0,0,0
Gogama LSB,L0465,2018,Ontario Library Service - North,LSB Library,P.O. Box  190 ,15 Low Avenue ,Gogama,Ontario,P0M1W0,glsb10@ontera.net,482,25,0,0,25,0,0,0,0
Gore Bay Union,L0302,2018,Ontario Library Service - North,Public or Union Library,15 Water Street P.O. Box 225 ,15 Water Street ,Gore Bay,Ontario,P0P1H0,olsn.ca/gorebay/index.html,635,"14,812",0,0,"14,812","82,191",619,41,"82,851"
Goulais & District LSB,L0484,2018,Ontario Library Service - North,Contracting LSB,50 Goulais Bay Road ,50 Goulais Bay Road ,Goulais River,Ontario,P0S1E0,GoulaisLSB@hotmail.ca,0,0,0,0,0,0,0,0,0
Grand Valley Library Board,L0073,2018,Southern Ontario Library Service,Public or Union Library,4 Amaranth St. E. ,4 Amaranth Street East ,Grand Valley,Ontario,L9W5L2,www.grandvalley.org,"1,905","17,585",174,0,"17,759","85,605",619,41,"86,265"
Gravenhurst Public Library,L0168,2018,Southern Ontario Library Service,Public or Union Library,180 Sharpe Street West ,180 Sharpe Street West ,Gravenhurst,Ontario,P1P1J1,www.gravenhurstlibrary.ca,"5,262","42,787",245,0,"43,032","93,438",619,41,"94,098"
Greater Madawaska Twp,L0478,2018,Southern Ontario Library Service,Public or Union Library,4984 Calabogie Road P.O. Box 160 ,4984 Calabogie Road P.O. Box 160 ,Calabogie,Ontario,K0J1H0,http://www.townshipofgreatermadawaska.com/library.htm,554,"13,661",40,0,"13,701","82,191",619,41,"82,851"
Greater Sudbury,L0470,2018,Ontario Library Service - North,Public or Union Library,74 MacKenzie Street ,74 MacKenzie Street ,Greater Sudbury,Ontario,P3C4X8,www.sudburylibraries.ca,"57,625","81,926","19,879",621,"102,426","609,087","7,663",12,"616,762"
Greenstone,L0471,2018,Ontario Library Service - North,Public or Union Library,Second Street West P.O. Box 40 ,405 2nd Street West ,Geraldton,Ontario,P0T1M0,www.olsn.ca/greenstone,"2,257","67,301","15,291",0,"82,592","82,552",619,41,"83,212"
Grey Highlands,L0472,2018,Southern Ontario Library Service,Public or Union Library,P.O. Box 280 ,101 Highland Drive ,Flesherton,Ontario,N0C1E0,www.greyhighlandspubliclibrary.com,"3,319","42,331",588,0,"42,919","82,305",619,41,"82,965"
Grimsby,L0169,2018,Southern Ontario Library Service,Public or Union Library,18 Carnegie Lane ,18 Carnegie Lane ,Grimsby,Ontario,L3M1Y1,http://grimsby.ca/library,"7,010","46,608",492,167,"47,267","82,191",619,41,"82,851"
Guelph,L0389,2018,Southern Ontario Library Service,Public or Union Library,100 Norfolk Street ,100 Norfolk Street ,Guelph,Ontario,N1H4J6,http://www.guelphpl.ca,"55,449","160,305","4,667","2,101","167,073","33,131","5,828",0,"38,959"
Haldimand County,L0473,2018,Southern Ontario Library Service,Public or Union Library,Box 187 ,111 Broad St. East ,Dunnville,Ontario,N1A2X5,http://library.haldimandcounty.on.ca,"15,081","94,418",841,362,"95,621","83,838",619,41,"84,498"
Haliburton County,L0171,2018,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",P.O. Box 119 ,78 Maple Ave. ,Haliburton,Ontario,K0M1S0,www.haliburtonlibrary.ca,"8,554","37,040",197,0,"37,237","82,191",619,41,"82,851"
Hallebourg LSB,L0172,2018,Ontario Library Service - North,Contracting LSB,General Delivery ,General Delivery ,Hallebourg,Ontario,P0L1L0,lsbhallebourg@hotmail.com,0,0,0,0,0,0,0,0,0
Halton Hills,L0326,2018,Southern Ontario Library Service,Public or Union Library,9 Church Street ,9 Church Street ,Georgetown,Ontario,L7G2A3,http://www.hhpl.on.ca/,"17,368","91,949","2,287",178,"94,414","82,608",618,41,"83,267"
Hamilton,L0474,2018,Southern Ontario Library Service,Public or Union Library,LCD 1 P.O. Box 2700 ,55 York Blvd. ,Hamilton,Ontario,L8N4E4,www.hpl.ca,"157,367","204,590","6,057","12,172","222,819","67,899","5,981",138,"74,018"
Hamilton Twp,L0173,2018,Southern Ontario Library Service,Contracting Municipality,P.O. Box 1060 ,8285 Majestic Hills Drive RR #4 ,Cobourg,Ontario,K9A4W5,www.hamiltontownship.ca,0,0,0,0,0,0,0,0,0
Hanover,L0174,2018,Southern Ontario Library Service,Public or Union Library,451 10th Avenue ,451 10th Avenue ,Hanover,Ontario,N4N2P1,www.hanoverlibrary.ca,"1,964","26,282",347,0,"26,629","92,580",619,41,"93,240"
Harley Twp,L0175,2018,Ontario Library Service - North,Contracting Municipality,903303 Hanbury Road R.R. #2 ,903303 Hanbury Rd ,New Liskeard,Ontario,P0J1P0,harlytwp@parolink.net,0,0,0,0,0,0,0,0,0
Hastings Highlands Twp,L0475,2018,Southern Ontario Library Service,Public or Union Library,P.O. Box 70 ,33011 Hwy. #62 North ,Maynooth,Ontario,K0L2S0,www.hastingshighlandspubliclibrary.ca,"1,304","10,928",30,2,"10,960","82,191",619,41,"82,851"
Havelock-Belmont-Methuen Twp,L0058,2018,Southern Ontario Library Service,Public or Union Library,PO  Box 10 ,13 Quebec Street ,Havelock,Ontario,K0L1Z0,www.hbmlibrary.on.ca,"2,074","33,857",11,0,"33,868","82,191",619,41,"82,851"
Hawk Junction LSB,L0177,2018,Ontario Library Service - North,Contracting LSB,P.O. Box 62 ,96 Cedar Street ,Hawk Junction,Ontario,P0S1G0,,0,0,0,0,0,0,0,0,0
Hawkesbury,L0059,2018,Southern Ontario Library Service,Public or Union Library,550 rue Higginson ,,Hawkesbury,Ontario,K6A1H1,www.bibliotheque.hawkesbury.on.ca,"6,352","22,416","35,949",0,"58,365","82,191","6,447",41,"88,679"
"Head, Clara & Maria",L0179,2018,Southern Ontario Library Service,Public or Union Library,15 Township Hall Road ,15 Township Hall Road ,Stonecliffe,Ontario,K0J2K0,http://hcmpubliclibrary.ca/,142,"3,501",0,0,"3,501","82,191",619,41,"82,851"
Hearst Twp,L0180,2018,Ontario Library Service - North,Public or Union Library,P.O. Bag 15000 ,801 George Street ,Hearst,Ontario,P0L1N0,www.bibliohearst.on.ca,"1,791","5,722","13,185",0,"18,907",0,"4,994",0,"4,994"
Henvey Inlet FN,L0460,2018,Ontario Library Service - North,First Nations Library,368 Pickerel River Road ,,Pickerel,Ontario,P0G1J0,maheengun12@hotmail.com,65,"2,700",0,0,"2,700",0,0,0,0
Hilton Union,L0183,2018,Ontario Library Service - North,Public or Union Library,3085 Marks Street Box 85 ,3085 Marks Street ,Hilton Beach,Ontario,P0R1G0,http://hiltonunion.library.on.ca,355,"8,500",0,0,"8,500","82,191",619,41,"82,851"
Hornepayne Twp,L0184,2018,Ontario Library Service - North,Public or Union Library,Front Street  P.O. Box 539 ,68 Front Street ,Hornepayne,Ontario,P0M1Z0,http://www.olsn.ca/hornepayne/,356,"7,415",360,0,"7,775","82,479",619,41,"83,139"
Hudson Twp,L0186,2018,Ontario Library Service - North,Contracting Municipality,903303 Hanbury Road R.R. #2 ,903303 Hanbury Rd ,New Liskeard,Ontario,P0J1P0,harlytwp@parolink.net,0,0,0,0,0,0,0,0,0
Huntsville,L0185,2018,Southern Ontario Library Service,Public or Union Library,7 Minerva Street East ,7 Minerva Street East ,Huntsville,Ontario,P1H1W4,www.huntsvillelibrary.ca,"8,500","48,612",712,15,"49,339","82,191",619,41,"82,851"
Hurkett LSB,L0187,2018,Ontario Library Service - North,Contracting LSB,R.R. #1 ,,Hurkett,Ontario,P0T1K0,,0,0,0,0,0,0,0,0,0
Huron County,L0188,2018,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",77722B London Road R.R. #5 ,,Clinton,Ontario,N0M1L0,www.huroncounty.ca/library,"18,370","144,454","1,128",516,"146,098","83,381",619,41,"84,041"
Huron Shores,L0189,2018,Ontario Library Service - North,Public or Union Library,10 Main Street P.O. Box 339 ,10 Main Street ,Iron Bridge,Ontario,P0R1H0,http://www.olsn.ca/huronshores  ,340,"6,191",27,0,"6,218",18,18,0,36
Ignace,L0327,2018,Ontario Library Service - North,Public or Union Library,P.O. Box 480 ,36 Main Street ,Ignace,Ontario,P0T1T0,http://www.olsn.ca/ignace/,358,"12,304",165,0,"12,469","82,191","1,619",41,"83,851"
Innisfil,L0277,2018,Southern Ontario Library Service,Public or Union Library,967 Innisfil Beach Road ,967 Innisfil Beach Road ,Innisfil,Ontario,L9S1V3,www.innisfilidealab.ca,"26,722","52,699","1,133",193,"54,025","50,893","1,176",470,"52,539"
Iroquois Falls,L0278,2018,Ontario Library Service - North,Public or Union Library,P.O. Box 860 ,725 Synagogue Avenue ,Iroquois Falls,Ontario,P0K1G0,www.olsn.on.ca/iroquoisfallsp/,"2,199","19,458","8,189",0,"27,647","82,191",619,41,"82,851"
Iskatewizaagegan No. 39 FN,L0438,2018,Ontario Library Service - North,First Nations Library,Indian Bay road P.O. Box 5 ,Indian Bay road P.O. Box 5 ,Shoal Lake,Ontario,P0X1E0,www.shoallake39.com,40,"3,516",0,10,"3,526",0,0,0,0
James Twp,L0280,2018,Ontario Library Service - North,Public or Union Library,19 First Street P.O. Box 218 ,"19 First street, Elk Lake ",Elk Lake,Ontario,P0J1G0,www.olsn.ca/jamestwp,397,"8,276",825,0,"9,101","82,191",619,41,"82,851"
Jocelyn Twp,L0444,2018,Ontario Library Service - North,Contracting Municipality,3670 5th Side Road R .R. #1 ,3670 5th Side Road R .R. #1 ,Hilton Beach,Ontario,P0R1G0,NA,0,0,0,0,0,0,0,0,0
Jogues LSB,L0281,2018,Ontario Library Service - North,Contracting LSB,3B Rue de l'Église ,3B Rue de l'Église ,Jogues,Ontario,P0L1R0,n/a,0,0,0,0,0,0,0,0,0
Johnson Twp,L0388,2018,Ontario Library Service - North,Contracting Municipality,P.O. Box 160 ,1 Johnson Drive ,Desbarats,Ontario,P0R1E0,www.johnsontwp.ca,0,0,0,0,0,0,0,0,0
Joly Twp,L0282,2018,Ontario Library Service - North,Contracting Municipality,P.O. Box 519 ,871 Forest Lake Road ,Sundridge,Ontario,P0A1Z0,,0,0,0,0,0,0,0,0,0
Kapuskasing,L0122,2018,Ontario Library Service - North,Public or Union Library,24 Mundy Avenue ,Mundy Avenue ,Kapuskasing,Ontario,P5N1P9,www.kapuskasinglibrary.ca,"1,881","18,300","9,200",0,"27,500",0,0,0,0
"Kawartha Lakes, City of",L0476,2018,Southern Ontario Library Service,Public or Union Library,190 Kent Street West 9000 ,190 Kent Street West ,Lindsay,Ontario,K9V2Y6,www.kawarthalakeslibrary.ca,"18,929","112,698","2,136",60,"114,894","443,725",625,92,"444,442"
Kearney & Area,L0123,2018,Ontario Library Service - North,Public or Union Library,P.O. Box 220 ,8 Main Street ,Kearney,Ontario,P0A1M0,www.olsn.ca/kearney,385,"8,600",45,0,"8,645","82,191",619,41,"82,851"
Kenora City,L0485,2018,Ontario Library Service - North,Public or Union Library,24 Main Street South ,,Kenora,Ontario,P9N1S7,www.kenorapubliclibrary.org,"3,996","47,305",293,0,"47,598","82,191",619,41,"82,851"
Kerns Twp,L0124,2018,Ontario Library Service - North,Contracting Municipality,903303 Hanbury  Road R.R. #2 ,903303 Hanbury Rd ,New Liskeard,Ontario,P0J1P0,harlytwp@parolink.net,0,0,0,0,0,0,0,0,0
"Killaloe, Hagarty & Richards Twp",L0385,2018,Southern Ontario Library Service,Public or Union Library,1 John Street Box 100 ,1 John Street Box 100 ,Killaloe,Ontario,K0J2A0,www.killaloelibrary.ca,"1,064","9,558",36,0,"9,594","91,710",619,41,"92,370"
Killarney,L1097,2018,Ontario Library Service - North,Contracting Municipality,32 Commissioner Street ,32 Commissioner Street ,Killarney,Ontario,P0M2A0,http://www.municipality.killarney.on.ca,0,0,0,0,0,0,0,0,0
King Twp,L0125,2018,Southern Ontario Library Service,Public or Union Library,1970 King Road P.O. Box 399 ,1970 King Road ,King City,Ontario,L7B1A6,www.kinglibrary.ca,"8,837","39,790",29,0,"39,819","90,601","1,151",41,"91,793"
Kingston-Frontenac County,L0213,2018,Southern Ontario Library Service,Public or Union Library,130 Johnson Street ,,Kingston,Ontario,K7L1X8,www.kfpl.ca,"55,171","174,565","8,643","3,442","186,650","12,198",147,0,"12,345"
Kirkland Lake,L0126,2018,Ontario Library Service - North,Public or Union Library,10 Kirkland Street East ,,Kirkland Lake,Ontario,P2N1P1,www.olsn.ca/kirklandlakepl,"2,526","33,310","2,303",0,"35,613","82,191",619,41,"82,851"
Kitchener,L0127,2018,Southern Ontario Library Service,Public or Union Library,85 Queen Street North ,,Kitchener,Ontario,N2H2H1,www.kpl.org,"95,395","236,490",930,"12,890","250,310","50,818",277,557,"51,652"
La Nation,L0091,2018,Southern Ontario Library Service,Public or Union Library,4531 Ste. Catherine Street ,4531 Ste. Catherine Street ,St-Isidore,Ontario,K0C2B0,www.nationmunbiblio.ca,"4,348","20,376","30,040",0,"50,416","82,191","6,447",41,"88,679"
La Vallee Twp,L0235,2018,Ontario Library Service - North,Contracting Municipality,P.O. Box 99 ,56 Church Road ,Devlin,Ontario,P0W1C0,lavalley@nwonet.net,0,0,0,0,0,0,0,0,0
Lac Seul FN,L1095,2018,Ontario Library Service - North,Contracting First Nations Band Council,Lac Seul First Nation P.O. Box 100 ,Lac Seul First Nation P.O. Box 100 ,Hudson,Ontario,P0V1X0,lac.seul.firstnation.ca/,0,0,0,0,0,0,0,0,0
Lac Ste. Therese LSB,L0236,2018,Ontario Library Service - North,Contracting LSB,C.P. 785 ,,Hearst,Ontario,P0L1N0,,0,0,0,0,0,0,0,0,0
Laird Twp,L0237,2018,Ontario Library Service - North,Contracting Municipality,3 Pumpkin Point Rd. West R.R. #4 ,3 Pumpkin Point Rd. West ,Echo Bay,Ontario,P0S1C0,lairdtownship.ca,0,0,0,0,0,0,0,0,0
Lake of Bays Twp,L0238,2018,Southern Ontario Library Service,Public or Union Library,1014 Dwight Beach Rd ,1014 Dwight Beach Rd ,Dwight,Ontario,P0A1H0,www.lakeofbayslibrary.ca,"5,101","26,697",152,0,"26,849","82,191",619,41,"82,851"
Lake of The Woods Twp,L0133,2018,Ontario Library Service - North,Contracting Municipality,P.O. Box 427 ,211 4th Street ,Rainy River,Ontario,P0W1L0,www.lakeofthewoods.ca,0,0,0,0,0,0,0,0,0
Lambton County,L0239,2018,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",787 Broadway Street P.O. Box 3100 ,787 Broadway Street P.O. Box 3100 ,Wyoming,Ontario,N0N1T0,www.lclibrary.ca,"34,360","169,622","4,866","4,410","178,898","32,349",0,0,"32,349"
Lanark Highlands,L0330,2018,Southern Ontario Library Service,Public or Union Library,P.O. Box 249 ,75 George Street ,Lanark,Ontario,K0G1K0,www.lanarklibrary.ca,767,"21,708",112,0,"21,820","82,191",619,41,"82,851"
Lappe Local Services Board,L1099,2018,Ontario Library Service - North,Contracting LSB,2032A Kam Current Road ,2032A Kam Current Road ,Gorham,Ontario,P7G0K5,https://www.lappe.ca/,0,0,0,0,0,0,0,0,0
Larder Lake Public Library,L0240,2018,Ontario Library Service - North,Public or Union Library,P.O. Box 189 ,69 Fourth Avenue ,Larder Lake,Ontario,P0K1L0,www.larderlakepubliclibrary.ca,362,"9,746","1,425",0,"11,171","82,243",619,41,"82,903"
Laurentian Hills,L0384,2018,Southern Ontario Library Service,Public or Union Library,34465 Highway 17 RR 1 ,34465 Highway 17 RR 1 ,Deep River,Ontario,K0J1P0,library.laurentianhills.ca,293,"18,532",169,1,"18,702","82,191",619,41,"82,851"
Laurentian Valley Twp,L0383,2018,Southern Ontario Library Service,Contracting Municipality,460 Witt Road ,237 Victoria ,Pembroke,Ontario,K8A4K5,www.laurentianvalleytwsp.on.ca,0,0,0,0,0,0,0,0,0
Laurier LSB,L1089,2018,Ontario Library Service - North,Contracting LSB,12650 HWY 124 P. O. Box 453 ,12650 HWY 124 P. O. Box 453 ,South River,Ontario,P0A1X0,laurier.local.services.board@gmail.com,0,0,0,0,0,0,0,0,0
Leeds and the Thousand Islands Twp,L0477,2018,Southern Ontario Library Service,Public or Union Library,Box  219 ,1 - B  Jessie St. ,Lansdowne,Ontario,K0E1L0,www.ltipl.net,"4,981","11,907",0,0,"11,907","82,191",619,41,"82,851"
Lennox and Addington County,L0243,2018,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",97 Thomas Street East ,97 Thomas Street East ,Napanee,Ontario,K7R4B9,www.countylibrary.ca,"8,493","66,267",893,0,"67,160","83,963",619,41,"84,623"
Limerick Twp,L1100,2018,Southern Ontario Library Service,Contracting Municipality,89 Limerick Lake Road ,89 Limerick Lake Road ,Gilmour,Ontario,K0L1W0,www.township.limerick.on.ca,0,0,0,0,0,0,0,0,0
Lincoln,L0433,2018,Southern Ontario Library Service,Public or Union Library,5020 Serena Drive PO Box 460 ,5020 Serena Drive ,Beamsville,Ontario,L0R1B0,www.lincoln.library.on.ca,"5,640","76,153",213,40,"76,406","77,998",618,0,"78,616"
Local Services Board of Rainbow Country,L0286,2018,Ontario Library Service - North,Contracting LSB,Box 144 ,245 Avery ,Espanola,Ontario,P3E1S5,https://rainbowcountrylsb.wordpress.com,0,0,0,0,0,0,0,0,0
London,L0245,2018,Southern Ontario Library Service,Public or Union Library,251 Dundas St. ,,London,Ontario,N6A6H9,http://www.londonpubliclibrary.ca,"168,344","200,090","8,223","11,521","219,834","28,746",0,0,"28,746"
"Loring, Port Loring and District Local Services Board",L0497,2018,Ontario Library Service - North,LSB Library,11767 Hwy 522 P.O. Box 82 ,11767 Hwy 522 P.O. Box 82 ,Port Loring,Ontario,P0H1Y0,http://www.olsn.ca/argylecommunitylibrary,440,"9,300",0,0,"9,300",0,0,0,0
M'Chigeeng FN,L0406,2018,Ontario Library Service - North,First Nations Library,Lakeview Drive P.O. Box 296 ,18 Lakeview Drive ,M'Chigeeng First Nation,Ontario,P0P1G0,www.olsn.ca/proofs/mchigeeng,160,"13,969",1,0,"13,970",0,0,0,0
"MacDonald, Meredith & Aberdeen Add'l Twp",L0190,2018,Ontario Library Service - North,Contracting Municipality,208 Church Street P.O. Box 10 ,208 Church Street ,Echo Bay,Ontario,P0S1C0,www.echobay.ca,0,0,0,0,0,0,0,0,0
Madawaska Valley Twp,L0496,2018,Southern Ontario Library Service,Public or Union Library,19474 Opeongo Line P.O. Box 970 ,19474 Opeongo Line ,Barry's Bay,Ontario,K0J1B0,www.madawaskavalleylibrary.ca,"1,460","23,824",183,160,"24,167","82,191",619,41,"82,851"
Madoc Twp,L0193,2018,Southern Ontario Library Service,Contracting Municipality,P.O. Box 503 ,15651 Highway 62 ,Madoc,Ontario,K0K2K0,www.madoc.ca,0,0,0,0,0,0,0,0,0
Magnetawan FN,L0407,2018,Ontario Library Service - North,First Nations Library,10 Hwy 529 Comp 15 R.R. #1     ,10 Hwy 529 Comp 15 R.R. #1     ,Britt,Ontario,P0G1A0,library@magnetawanfirstnation.com,60,700,10,0,710,0,0,0,0
Magnetawan Twp,L0194,2018,Ontario Library Service - North,Public or Union Library,P.O. Box 130 ,4304 N. Sparks St ,Magnetawan,Ontario,P0A1P0,www.magnetawanlibrary.ca,854,"10,500",120,0,"10,620",0,0,0,0
Manitouwadge,L0195,2018,Ontario Library Service - North,Public or Union Library,2 Manitou Rd Community Centre ,2 Manitou Rd ,Manitouwadge,Ontario,P0T2C0,www.olsn.ca/manitouwadge,479,"24,765",832,0,"25,597","77,998",618,41,"78,657"
Marathon,L0196,2018,Ontario Library Service - North,Public or Union Library,22 Peninsula Road P.O. Box 400 ,22 Peninsula Road ,Marathon,Ontario,P0T2E0,http://www.olsn.c/marathon,"1,225","6,764",173,0,"6,937","70,169",607,40,"70,816"
Markham,L0099,2018,Southern Ontario Library Service,Public or Union Library,6031 Highway 7 ,,Markham,Ontario,L3P3A7,http://www.markhampubliclibrary.ca,"157,806","489,078","29,032","70,090","588,200","96,957","1,980","3,226","102,163"
Markstay-Warren,L0447,2018,Ontario Library Service - North,Public or Union Library,P.O. Box 50 ,7 Pioneer St. East ,Markstay,Ontario,P0M2G0,www.olsn.ca/markstay-warrenpl,852,"10,695","1,397",0,"12,092","83,480",664,90,"84,234"
Marmora and Lake Twp,L0463,2018,Southern Ontario Library Service,Public or Union Library,P.O. Box 340 ,37 Forsyth Street ,Marmora,Ontario,K0K2M0,www.marmoralibrary.ca/,"2,340","14,903",6,0,"14,909","77,998",618,0,"78,616"
Mattagami FN,L0428,2018,Ontario Library Service - North,First Nations Library,P.O. Box 99 ,,Gogama,Ontario,P0M1W0,,40,"4,636",0,0,"4,636",0,0,0,0
Mattawa,L0134,2018,Ontario Library Service - North,Public or Union Library,370 Pine Street P.O. Box 920 ,370 Pine St. ,Mattawa,Ontario,P0H1V0,http://users.efni.com/~mplibrary/,"1,450","34,125","7,540",0,"41,665",238,100,0,338
Mattawan Twp,L0461,2018,Ontario Library Service - North,Contracting Municipality,P.O. Box 610 ,947 Highway 533 ,Mattawa,Ontario,P0H1V0,n/a,0,0,0,0,0,0,0,0,0
Mattice-Val Cote Twp,L0020,2018,Ontario Library Service - North,Public or Union Library,Route 11 S.P. 129 ,500 Route 11 ,Mattice,Ontario,P0L1T0,www.matticevalcote.ca,391,"1,780","8,128",0,"9,908",50,"5,828",0,"5,878"
"McDougall, Municipality of",L1087,2018,Ontario Library Service - North,Contracting Municipality,5 Barager Blvd. RR #3 ,5 Barager Blvd. RR #3 ,Parry Sound,Ontario,P2A2W9,www.municipalityofmcdougall.com,0,0,0,0,0,0,0,0,0
McGarry Twp,L0199,2018,Ontario Library Service - North,Public or Union Library,1 27th St P.O. Box 250 ,1 27th St 250 ,Virginiatown,Ontario,P0K1X0,www.olsn.ca/mcgarry,122,"4,411","2,836",0,"7,247",0,0,0,0
McKellar Twp,L0200,2018,Ontario Library Service - North,Public or Union Library,P.O. Box 10 ,701 Highway 124 ,McKellar,Ontario,P0G1C0,www.mckellarpubliclibrary.on.ca,367,"8,981",16,0,"8,997","82,191",619,41,"82,851"
"McMurrich-Monteith, the Corporation of the Township of",L0201,2018,Ontario Library Service - North,Contracting Municipality,P.O. Box 70 ,31 William St ,Sprucedale,Ontario,P0A1Y0,www.mcmurrichmonteith.com,0,0,0,0,0,0,0,0,0
McNab-Braeside Twp,L1028,2018,Southern Ontario Library Service,Contracting Municipality,2508 Russett Drive R.R. 2 ,2508 Russett Drive R.R. 2 ,Arnprior,Ontario,K7S3G8,www.mcnabbraeside.com,0,0,0,0,0,0,0,0,0
Meaford,L0203,2018,Southern Ontario Library Service,Public or Union Library,15 Trowbridge Street West ,,Meaford,Ontario,N4L1V4,www.meafordlibrary.on.ca,"4,633","31,170",692,1,"31,863","82,300",619,41,"82,960"
Melancthon Twp,L0331,2018,Southern Ontario Library Service,Contracting Municipality,157101 Highway 10 ,157101 Highway No 10 ,Melancthon,Ontario,L9V2E6,www.melancthontownship.ca,0,0,0,0,0,0,0,0,0
Merrickville-Wolford,L0204,2018,Southern Ontario Library Service,Public or Union Library,446 Main St. W P.O. Box 460 ,446 Main St. W P.O. Box 460 ,Merrickville,Ontario,K0G1N0,www.merrickvillelibrary.ca,"1,283","22,563",941,0,"23,504","82,197",619,41,"82,857"
Michipicoten FN,L0464,2018,Ontario Library Service - North,First Nations Library,"107 Hiawatha Drive P.O. Box 1 RR#1, Site 8 ","107 Hiawatha Drive P.O. Box 1 RR#1, Site 8 ",Wawa,Ontario,P0S1K0,www.michipicoten.com,87,34,0,0,34,"77,998",620,41,"78,659"
Middlesex County Library,L0205,2018,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",399 Ridout Street North ,34-B Frank St. ,Strathroy,Ontario,N6A2P1,www.library.middlesex.ca,"20,563","72,346",437,550,"73,333","38,372","1,185",122,"39,679"
Midland,L0022,2018,Southern Ontario Library Service,Public or Union Library,320 King Street ,,Midland,Ontario,L4R3M6,www.midlandlibrary.com,"17,819","33,210",0,0,"33,210","12,701",147,374,"13,222"
Milton,L0434,2018,Southern Ontario Library Service,Public or Union Library,1010 Main Street East ,1010 Main Street East ,Milton,Ontario,L9T6H7,www.mpl.on.ca,"66,962","111,673","3,285",869,"115,827","57,791","3,389",213,"61,393"
Mississauga,L0206,2018,Southern Ontario Library Service,Public or Union Library,301 Burnhamthorpe Road West ,301 Burnhamthorpe Road West ,Mississauga,Ontario,L5B3Y3,www.mississauga.ca/library,"212,336","201,016","9,754","14,061","224,831","10,488",2,3,"10,493"
Mississauga FN,L0459,2018,Ontario Library Service - North,First Nations Library,P.O. Box 1299 ,148 Village Rd. ,Blind River,Ontario,P0R1B0,www.mississaugi.com,460,"3,710",0,4,"3,714",53,0,0,53
Mississaugas of Scugog Island FN,L0440,2018,Southern Ontario Library Service,First Nations Library,22600 Island Road ,22600 Island Road ,Port Perry ,Ontario,L9L1B6,http://www.scugogfirstnation.com/Page.asp?IdPage=6658&WebAddress=misfn,105,"1,258",0,0,"1,258",0,0,0,0
Mississippi Mills,L0210,2018,Southern Ontario Library Service,Public or Union Library,155 High St. P.O. Box 820 ,155 High Street ,Almonte,Ontario,K0A1A0,http://missmillslibrary.com/,"6,598","39,560","1,742",0,"41,302","82,191",619,41,"82,851"
Mohawks of Akwesasne FN,L0408,2018,Southern Ontario Library Service,First Nations Library,"State Route 37, Akwesasne  N.Y. 13655 P.O. Box 96 ","321 State Route 37, Akwesasne  N.Y. 13655 ",Cornwall,Ontario,K6H5R9,http://www.akwesasneculturalcenter.org,"4,706","20,688",12,45,"20,745",0,0,0,0
Mohawks of the Bay of Quinte FN,L0405,2018,Southern Ontario Library Service,First Nations Library,1658 York Road ,1658 York Road ,Tyendinaga Mohawk Territory,Ontario,K0K1X0,http://www.kanhiote.ca,800,"1,500",0,0,"1,500","82,191",619,41,"82,851"
Mono,L0029,2018,Southern Ontario Library Service,Contracting Municipality,347209 Mono Centre Road ,347209 Mono Centre Road ,Orangeville,Ontario,L9W6S3,http://www.townofmono.com,0,0,0,0,0,0,0,0,0
Montague Twp,L0208,2018,Southern Ontario Library Service,Contracting Municipality,P.O. Box 755 ,6547 Roger Stevens Drive ,Smiths Falls,Ontario,K7A4W6,www.township.montague.on.ca,0,0,0,0,0,0,0,0,0
